PassengerId,Survived,Pclass,Age,Fare,FamilySize,FarePerPerson,Sex_female,Sex_male,Title_Mr,Fare_log,FarePerPerson_log
1,0,3,22.0,7.25,2,3.625,False,True,True,2.1102132003465894,1.5314763709643886
2,1,1,38.0,71.2833,2,35.64165,True,False,False,4.2805931204649,3.6011855715430774
3,1,3,26.0,7.925,1,7.925,True,False,False,2.188856327665703,2.188856327665703
4,1,1,35.0,53.1,2,26.55,True,False,False,3.9908341858524357,3.3160025355989236
5,0,3,35.0,8.05,1,8.05,False,True,True,2.2027647577118348,2.2027647577118348
6,0,3,30.0,8.4583,1,8.4583,False,True,True,2.246892662898172,2.246892662898172
7,0,1,54.0,51.8625,1,51.8625,False,True,True,3.967694202798607,3.967694202798607
8,0,3,2.0,21.075,5,4.215,False,True,False,3.0944457464900235,1.6515390884527357
9,1,3,27.0,11.1333,3,3.7111,True,False,False,2.495953738718064,1.5499214264083454
10,1,2,14.0,30.0708,2,15.0354,True,False,False,3.436268471383741,2.774798778265854
11,1,3,4.0,16.7,3,5.566666666666666,True,False,False,2.8735646395797834,1.882006347075833
12,1,1,58.0,26.55,1,26.55,True,False,False,3.3160025355989236,3.3160025355989236
13,0,3,20.0,8.05,1,8.05,False,True,True,2.2027647577118348,2.2027647577118348
14,0,3,39.0,31.275,7,4.4678571428571425,False,True,True,3.4742929367327062,1.698886792488434
15,0,3,14.0,7.8542,1,7.8542,True,False,False,2.180891922715322,2.180891922715322
16,1,2,55.0,16.0,1,16.0,True,False,False,2.833213344056216,2.833213344056216
17,0,3,2.0,29.125,6,4.854166666666667,False,True,False,3.405355391810819,1.767153658425855
18,1,2,30.0,13.0,1,13.0,False,True,True,2.6390573296152584,2.6390573296152584
19,0,3,31.0,18.0,2,9.0,True,False,False,2.9444389791664403,2.302585092994046
20,1,3,35.0,7.225,1,7.225,True,False,False,2.1071782966514356,2.1071782966514356
21,0,2,35.0,26.0,1,26.0,False,True,True,3.295836866004329,3.295836866004329
22,1,2,34.0,13.0,1,13.0,False,True,True,2.6390573296152584,2.6390573296152584
23,1,3,15.0,8.0292,1,8.0292,True,False,False,2.2004637699272855,2.2004637699272855
24,1,1,28.0,35.5,1,35.5,False,True,True,3.597312260588446,3.597312260588446
25,0,3,8.0,21.075,5,4.215,True,False,False,3.0944457464900235,1.6515390884527357
26,1,3,38.0,31.3875,7,4.483928571428572,True,False,False,3.4777725458882283,1.7018217367116275
27,0,3,30.0,7.225,1,7.225,False,True,True,2.1071782966514356,2.1071782966514356
28,0,1,19.0,112.07915,6,18.679858333333332,False,True,True,4.728088015994874,2.979595693088713
29,1,3,21.0,7.8792,1,7.8792,True,False,False,2.1837114628556327,2.1837114628556327
30,0,3,30.0,7.8958,1,7.8958,False,True,True,2.1855792552411137,2.1855792552411137
31,0,1,40.0,27.7208,1,27.7208,False,True,False,3.357621598945279,3.357621598945279
32,1,1,35.0,112.07915,2,56.039575,True,False,False,4.728088015994874,4.0437453251666415
33,1,3,21.0,7.75,1,7.75,True,False,False,2.169053700369523,2.169053700369523
34,0,2,66.0,10.5,1,10.5,False,True,True,2.4423470353692043,2.4423470353692043
35,0,1,28.0,82.1708,2,41.0854,False,True,True,4.420896324687287,3.7397008871924475
36,0,1,42.0,52.0,2,26.0,False,True,True,3.970291913552122,3.295836866004329
37,1,3,30.0,7.2292,1,7.2292,False,True,True,2.1076888046179385,2.1076888046179385
38,0,3,21.0,8.05,1,8.05,False,True,True,2.2027647577118348,2.2027647577118348
39,0,3,18.0,18.0,3,6.0,True,False,False,2.9444389791664403,1.9459101490553132
40,1,3,14.0,11.2417,2,5.62085,True,False,False,2.5048481563289,1.8902237604980383
41,0,3,40.0,9.475,2,4.7375,True,False,False,2.348991465808201,1.7470235753866634
42,0,2,27.0,21.0,2,10.5,True,False,False,3.091042453358316,2.4423470353692043
